page,id_in_page,details_page_url,agency_or_not
6,30,https://www.sortlist.com/agency/speed-tech,1
6,31,https://www.sortlist.com/agency/mayasquad,1
6,32,https://www.sortlist.com/agency/openbyte,1
6,33,https://www.sortlist.com/agency/keole-net,1
6,34,https://www.sortlist.com/agency/sparkle-2,1
6,35,https://www.sortlist.com/agency/salamander,1
6,36,https://www.sortlist.com/agency/duty-labs,1
6,37,https://www.sortlist.com/agency/attract-group,1
6,38,https://www.sortlist.com/agency/hyliacom-comunicacion-creativa,1
6,39,https://www.sortlist.com/agency/sb-technologies,1
6,40,https://www.sortlist.com/agency/adqueria-marketing,1
6,41,https://www.sortlist.com/agency/pierre-elie-zipilivan,1
6,42,https://www.sortlist.com/agency/codesorbit,1
6,43,https://www.sortlist.com/agency/martes,1
6,44,https://www.sortlist.com/agency/cierra,1
6,45,https://www.sortlist.com/agency/factory39,1
6,46,https://www.sortlist.com/agency/gohze,1
6,47,https://www.sortlist.com/agency/logo-poppin,1
6,48,https://www.sortlist.com/agency/list-sell-gmbh-webdesign-agentur-berlin,1
6,49,https://www.sortlist.com/agency/kodkodkod-studio,1
6,50,https://www.sortlist.com/agency/beeproger,1
7,1,https://www.sortlist.com/agency/weft-technologies,1
7,2,https://www.sortlist.com/agency/moco-6,1
7,3,https://www.sortlist.com/agency/take-the-lead,1
7,4,https://www.sortlist.com/agency/preezma-2,1
7,5,https://www.sortlist.com/agency/proweb-limited,1
7,6,https://www.sortlist.com/agency/gildenford-la-sastreria-digital,1
7,7,https://www.sortlist.com/agency/ajensi,1
7,8,https://www.sortlist.com/agency/destino,1
7,9,https://www.sortlist.com/agency/ngti,1
7,10,https://www.sortlist.com/agency/inapps-technology,1
7,11,https://www.sortlist.com/agency/alphonic-network-solutions-pvt-ltd,1
7,12,https://www.sortlist.com/agency/correct-technology,1
7,13,https://www.sortlist.com/agency/wecodx,1
7,14,https://www.sortlist.com/agency/uxreactor,1
7,15,https://www.sortlist.com/agency/maple-software-creation,1
7,16,https://www.sortlist.com/agency/coma-dev,1
7,17,https://www.sortlist.com/agency/schoene-neue-kinder,1
7,18,https://www.sortlist.com/agency/railwaymen,1
7,19,https://www.sortlist.com/agency/clicsoft,1
7,20,https://www.sortlist.com/agency/theway2tech,1
7,21,https://www.sortlist.com/agency/true-engineering,1
7,22,https://www.sortlist.com/agency/soft-kinetics,1
7,23,https://www.sortlist.com/agency/mcro-tech,1
7,24,https://www.sortlist.com/agency/grafing-d-o-o,1
7,25,https://www.sortlist.com/agency/secure-infotech-pvt-ltd,1
7,26,https://www.sortlist.com/agency/emutation-new-media,1
7,27,https://www.sortlist.com/agency/multidots-solutions-private-limited,1
7,28,https://www.sortlist.com/agency/rgw-studio,1
7,29,https://www.sortlist.com/agency/equanimity-es-diseno-y-programacion-web,1
7,30,https://www.sortlist.com/agency/appvelvet,1
7,31,https://www.sortlist.com/agency/toughlex,1
7,32,https://www.sortlist.com/agency/arkbauer,1
7,33,https://www.sortlist.com/agency/octal-it-solution,1
7,34,https://www.sortlist.com/agency/suria-labs,1
7,35,https://www.sortlist.com/agency/transfonum,1
7,36,https://www.sortlist.com/agency/slapp,1
7,37,https://www.sortlist.com/agency/zeagwat-inc,1
7,38,https://www.sortlist.com/agency/ultrastark-development-ag,1
7,39,https://www.sortlist.com/agency/aimtech-llc,1
7,40,https://www.sortlist.com/agency/bearinasuit-interactive,1
7,41,https://www.sortlist.com/agency/xdua-digital,1
7,42,https://www.sortlist.com/agency/codelabs-inc,1
7,43,https://www.sortlist.com/agency/incode-systems,1
7,44,https://www.sortlist.com/agency/dot-com-development,1
7,45,https://www.sortlist.com/agency/appmastero-web-mobile-app-development-company-in-uk,1
7,46,https://www.sortlist.com/agency/odiwiodiwi,1
7,47,https://www.sortlist.com/agency/split-interactive,1
7,48,https://www.sortlist.com/agency/nubis-digital-agency,1
7,49,https://www.sortlist.com/agency/raydev,1
7,50,https://www.sortlist.com/agency/logimetrix-lts,1
8,1,https://www.sortlist.com/agency/icysoft,1
8,2,https://www.sortlist.com/agency/4kcode,1
8,3,https://www.sortlist.com/agency/rootsquare-technologies,1
8,4,https://www.sortlist.com/agency/iroid-technologies,1
8,5,https://www.sortlist.com/agency/visual-legion,1
8,6,https://www.sortlist.com/agency/clockwise-software,1
8,7,https://www.sortlist.com/agency/groweb,1
8,8,https://www.sortlist.com/agency/web-design,1
8,9,https://www.sortlist.com/agency/bornak,1
8,10,https://www.sortlist.com/agency/stark-marketing-de,1
8,11,https://www.sortlist.com/agency/ffwd-fast-forward,1
8,12,https://www.sortlist.com/agency/ilo-madagascar-sarlu,1
8,13,https://www.sortlist.com/agency/devcorp,1
8,14,https://www.sortlist.com/agency/jiseg-it,1
8,15,https://www.sortlist.com/agency/devision,1
8,16,https://www.sortlist.com/agency/bytes-technolab-inc,1
8,17,https://www.sortlist.com/agency/cmc-global,1
8,18,https://www.sortlist.com/agency/xtend-brand-digital-marketing-agency,1
8,19,https://www.sortlist.com/agency/box,1
8,20,https://www.sortlist.com/agency/wearethinkers,1
8,21,https://www.sortlist.com/agency/belighted,1
8,22,https://www.sortlist.com/agency/corecrew,1
8,23,https://www.sortlist.com/agency/calibrate,1
8,24,https://www.sortlist.com/agency/symantra,1
8,25,https://www.sortlist.com/agency/3-minds-digital,1
8,26,https://www.sortlist.com/agency/switch-soft-technologies-pvt-ltd,1
8,27,https://www.sortlist.com/agency/langoor-digital,1
8,28,https://www.sortlist.com/agency/xapps-for-mobile-application-development,1
8,29,https://www.sortlist.com/agency/sumocoders,1
8,30,https://www.sortlist.com/agency/soft-tech-group-inc,1
8,31,https://www.sortlist.com/agency/giraffe-studio,1
8,32,https://www.sortlist.com/agency/aleksey,1
8,33,https://www.sortlist.com/agency/techinnover,1
8,34,https://www.sortlist.com/agency/scrumble,1
8,35,https://www.sortlist.com/agency/andinasoft,1
8,36,https://www.sortlist.com/agency/log-in-line,1
8,37,https://www.sortlist.com/agency/yeah-communication,1
8,38,https://www.sortlist.com/agency/software-domain,1
8,39,https://www.sortlist.com/agency/akuarohub,1
8,40,https://www.sortlist.com/agency/tocaan,1
8,41,https://www.sortlist.com/agency/segwitz-tech,1
8,42,https://www.sortlist.com/agency/influid-creative-digital-agency,1
8,43,https://www.sortlist.com/agency/creativegray,1
8,44,https://www.sortlist.com/agency/codezeros-2,1
8,45,https://www.sortlist.com/agency/evocode,1
8,46,https://www.sortlist.com/agency/clixifi,1
8,47,https://www.sortlist.com/agency/level30wizards,1
8,48,https://www.sortlist.com/agency/jajuma,1
8,49,https://www.sortlist.com/agency/business-unicorns,1
8,50,https://www.sortlist.com/agency/digitalu,1
9,1,https://www.sortlist.com/agency/darecorp,1
9,2,https://www.sortlist.com/agency/chispa-lab,1
9,3,https://www.sortlist.com/agency/purelogics,1
9,4,https://www.sortlist.com/agency/hyper-media-labs,1
9,5,https://www.sortlist.com/agency/venrup,1
