page,id_in_page,details_page_url,agency_or_not,website
4,2,https://www.sortlist.com/agency/glueglue,1,http://www.glueglue.com
4,3,https://www.sortlist.com/agency/virtualspirit,1,https://virtualspirit.me
4,4,https://www.sortlist.com/agency/nebulae,1,https://nebulae.be
4,5,https://www.sortlist.com/agency/smala-co,1,http://www.smala.co
4,6,https://www.sortlist.com/agency/avanza-consultoria-tecnologica-9,1,https://avanzaconsultoria.com
4,7,https://www.sortlist.com/agency/proloweb,1,https://www.payet-consulting.com
4,8,https://www.sortlist.com/agency/andromede-digital,1,http://www.andromede.be
4,9,https://www.sortlist.com/agency/caspian-digital-solutions,1,https://caspiands.com
4,10,https://www.sortlist.com/agency/strivals,1,https://strivals.com
4,11,https://www.sortlist.com/agency/futuro-team,1,https://futuro.team
4,12,https://www.sortlist.com/agency/enoki-studio,1,https://enoki-studio.com
4,13,https://www.sortlist.com/agency/designdialog-gmbh-co-kg,1,https://www.designdialog.de/
4,14,https://www.sortlist.com/agency/ironshark-gmbh,1,http://www.ironshark.de
4,15,https://www.sortlist.com/agency/wagaia,1,https://www.wagaia.com/
4,16,https://www.sortlist.com/agency/data-machine-intelligence-solutions,1,https://www.datamachineintelligence.eu/
4,17,https://www.sortlist.com/agency/diseno-web-zaragoza-inicionet,1,https://www.inicionet.com
4,18,https://www.sortlist.com/agency/codecalc-gmbh,1,https://codecalc.dev/de-DE
4,19,https://www.sortlist.com/agency/wisoft-solutions-2,1,https://www.wisoftsolutions.com
4,20,https://www.sortlist.com/agency/iseo-online-marketing-gmbh,1,https://www.iseo.de/
4,21,https://www.sortlist.com/agency/agile-digital-agency,1,https://www.agiledigitalagency.com/
4,22,https://www.sortlist.com/agency/unicblue,1,http://www.unicblue.com
4,23,https://www.sortlist.com/agency/mcore-services,1,https://mcore-services.be
4,24,https://www.sortlist.com/agency/webcollective,1,https://webcollective.be/
4,25,https://www.sortlist.com/agency/inoutdata-project,1,https://inoutdataproject.com
4,26,https://www.sortlist.com/agency/nine-brackets,1,https://www.ninebrackets.com
4,27,https://www.sortlist.com/agency/techcronus-business-solutions,1,https://www.techcronus.com
4,28,https://www.sortlist.com/agency/lizard-global,1,https://lizard.global
